district,policy,feature,policy_type,policy_value,supply_before,supply_after,gap_before,gap_after,gap_delta,raw_welfare_budget_per_capita_before,raw_welfare_budget_per_capita_after,raw_public_sports_facilities_count_before,raw_public_sports_facilities_count_after,raw_parks_count_before,raw_parks_count_after,raw_libraries_count_before,raw_libraries_count_after,raw_medical_institutions_count_before,raw_medical_institutions_count_after,raw_health_promotion_centers_count_before,raw_health_promotion_centers_count_after,raw_elderly_leisure_welfare_facilities_count_before,raw_elderly_leisure_welfare_facilities_count_after,raw_in_home_elderly_welfare_facilities_count_before,raw_in_home_elderly_welfare_facilities_count_after,raw_cultural_satisfaction_before,raw_cultural_satisfaction_after
노원구,libraries_count +1개,libraries_count,abs,1.0,66.93935888849595,66.93935888849595,-1.1804425459799859,-1.1804425459799859,0.0,,,,,,,21.0,22.0,,,,,,,,,,
은평구,libraries_count +1개,libraries_count,abs,1.0,40.570071542657715,40.570071542657715,6.042738377219848,6.042738377219848,0.0,,,,,,,13.0,14.0,,,,,,,,,,
서대문구,libraries_count +1개,libraries_count,abs,1.0,36.96226431259595,36.96226431259595,15.463330436353985,15.463330436353985,0.0,,,,,,,18.0,19.0,,,,,,,,,,
마포구,libraries_count +1개,libraries_count,abs,1.0,37.029831695065866,37.029831695065866,-1.9478185242547923,-1.9478185242547923,0.0,,,,,,,15.0,16.0,,,,,,,,,,
양천구,libraries_count +1개,libraries_count,abs,1.0,44.3601560171129,44.3601560171129,-6.8547261767620284,-6.8547261767620284,0.0,,,,,,,12.0,13.0,,,,,,,,,,
강서구,libraries_count +1개,libraries_count,abs,1.0,52.2533085419595,52.2533085419595,3.282799780234093,3.282799780234093,0.0,,,,,,,19.0,20.0,,,,,,,,,,
구로구,libraries_count +1개,libraries_count,abs,1.0,45.20350827170819,45.20350827170819,4.5979329509283176,4.5979329509283176,0.0,,,,,,,19.0,20.0,,,,,,,,,,
금천구,libraries_count +1개,libraries_count,abs,1.0,20.34950468607255,20.34950468607255,34.02411907855812,34.02411907855812,0.0,,,,,,,6.0,7.0,,,,,,,,,,
영등포구,libraries_count +1개,libraries_count,abs,1.0,33.114315515774095,33.114315515774095,-2.826304142589244,-2.826304142589244,0.0,,,,,,,23.0,24.0,,,,,,,,,,
동작구,libraries_count +1개,libraries_count,abs,1.0,35.11423497367353,35.11423497367353,14.672077375700304,14.672077375700304,0.0,,,,,,,19.0,20.0,,,,,,,,,,
관악구,libraries_count +1개,libraries_count,abs,1.0,36.382131389784334,36.382131389784334,29.186290306150397,29.186290306150397,0.0,,,,,,,9.0,10.0,,,,,,,,,,
서초구,libraries_count +1개,libraries_count,abs,1.0,50.889848727589424,50.889848727589424,-34.55128167164027,-34.55128167164027,0.0,,,,,,,44.0,45.0,,,,,,,,,,
강남구,libraries_count +1개,libraries_count,abs,1.0,62.05460257660455,62.05460257660455,-23.940579729518376,-23.940579729518376,0.0,,,,,,,33.0,34.0,,,,,,,,,,
송파구,libraries_count +1개,libraries_count,abs,1.0,48.90661329112853,48.90661329112853,0.16185210999524458,0.16185210999524458,0.0,,,,,,,20.0,21.0,,,,,,,,,,
강동구,libraries_count +1개,libraries_count,abs,1.0,34.70467933623486,34.70467933623486,11.761867388760557,11.761867388760557,0.0,,,,,,,12.0,13.0,,,,,,,,,,
종로구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,34.26225698329131,34.26225698329131,15.310131396600468,15.310131396600468,0.0,,,,,,,,,477.0,524.7,,,,,,,,
중구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,33.874382588790084,33.874382588790084,-6.2765624993063796,-6.2765624993063796,0.0,,,,,,,,,599.0,658.9000000000001,,,,,,,,
용산구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,22.5032633041716,22.5032633041716,8.24644250039276,8.24644250039276,0.0,,,,,,,,,324.0,356.40000000000003,,,,,,,,
성동구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,29.707849040747323,29.707849040747323,9.498425136507809,9.498425136507809,0.0,,,,,,,,,481.0,529.1,,,,,,,,
광진구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,23.579694423333212,23.579694423333212,31.347035453348266,31.347035453348266,0.0,,,,,,,,,588.0,646.8000000000001,,,,,,,,
동대문구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,31.718312078736787,31.718312078736787,-0.519498581949378,-0.519498581949378,0.0,,,,,,,,,624.0,686.4000000000001,,,,,,,,
중랑구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,40.23835413063705,40.23835413063705,17.689962958910648,17.689962958910648,0.0,,,,,,,,,567.0,623.7,,,,,,,,
성북구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,45.73904685497631,45.73904685497631,4.030870606855743,4.030870606855743,0.0,,,,,,,,,560.0,616.0,,,,,,,,
강북구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,31.592485374275686,31.592485374275686,39.67000063702611,39.67000063702611,0.0,,,,,,,,,477.0,524.7,,,,,,,,
도봉구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,37.243119629871735,37.243119629871735,22.937372477005248,22.937372477005248,0.0,,,,,,,,,381.0,419.1,,,,,,,,
노원구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,66.93935888849595,66.93935888849595,-1.1804425459799859,-1.1804425459799859,0.0,,,,,,,,,761.0,837.1,,,,,,,,
은평구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,40.570071542657715,40.570071542657715,6.042738377219848,6.042738377219848,0.0,,,,,,,,,709.0,779.9000000000001,,,,,,,,
서대문구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,36.96226431259595,36.96226431259595,15.463330436353985,15.463330436353985,0.0,,,,,,,,,446.0,490.6,,,,,,,,
마포구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,37.029831695065866,37.029831695065866,-1.9478185242547923,-1.9478185242547923,0.0,,,,,,,,,788.0,866.8000000000001,,,,,,,,
양천구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,44.3601560171129,44.3601560171129,-6.8547261767620284,-6.8547261767620284,0.0,,,,,,,,,679.0,746.9000000000001,,,,,,,,
강서구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,52.2533085419595,52.2533085419595,3.282799780234093,3.282799780234093,0.0,,,,,,,,,953.0,1048.3000000000002,,,,,,,,
구로구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,45.20350827170819,45.20350827170819,4.5979329509283176,4.5979329509283176,0.0,,,,,,,,,610.0,671.0,,,,,,,,
금천구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,20.34950468607255,20.34950468607255,34.02411907855812,34.02411907855812,0.0,,,,,,,,,366.0,402.6,,,,,,,,
영등포구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,33.114315515774095,33.114315515774095,-2.826304142589244,-2.826304142589244,0.0,,,,,,,,,830.0,913.0000000000001,,,,,,,,
동작구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,35.11423497367353,35.11423497367353,14.672077375700304,14.672077375700304,0.0,,,,,,,,,605.0,665.5,,,,,,,,
관악구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,36.382131389784334,36.382131389784334,29.186290306150397,29.186290306150397,0.0,,,,,,,,,721.0,793.1,,,,,,,,
서초구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,50.889848727589424,50.889848727589424,-34.55128167164027,-34.55128167164027,0.0,,,,,,,,,1495.0,1644.5000000000002,,,,,,,,
강남구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,62.05460257660455,62.05460257660455,-23.940579729518376,-23.940579729518376,0.0,,,,,,,,,2988.0,3286.8,,,,,,,,
송파구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,48.90661329112853,48.90661329112853,0.16185210999524458,0.16185210999524458,0.0,,,,,,,,,1263.0,1389.3000000000002,,,,,,,,
강동구,medical_institutions_count +10%,medical_institutions_count,pct,0.1,34.70467933623486,34.70467933623486,11.761867388760557,11.761867388760557,0.0,,,,,,,,,897.0,986.7,,,,,,,,
종로구,health_promotion_centers_count +1개,health_promotion_centers_count,abs,1.0,34.26225698329131,34.26225698329131,15.310131396600468,15.310131396600468,0.0,,,,,,,,,,,2.0,3.0,,,,,,
중구,health_promotion_centers_count +1개,health_promotion_centers_count,abs,1.0,33.874382588790084,33.874382588790084,-6.2765624993063796,-6.2765624993063796,0.0,,,,,,,,,,,1.0,2.0,,,,,,
용산구,health_promotion_centers_count +1개,health_promotion_centers_count,abs,1.0,22.5032633041716,22.5032633041716,8.24644250039276,8.24644250039276,0.0,,,,,,,,,,,2.0,3.0,,,,,,
성동구,health_promotion_centers_count +1개,health_promotion_centers_count,abs,1.0,29.707849040747323,29.707849040747323,9.498425136507809,9.498425136507809,0.0,,,,,,,,,,,1.0,2.0,,,,,,
광진구,health_promotion_centers_count +1개,health_promotion_centers_count,abs,1.0,23.579694423333212,23.579694423333212,31.347035453348266,31.347035453348266,0.0,,,,,,,,,,,1.0,2.0,,,,,,
